host_acceptance_rate,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,facebook,reviews,selfie,government_id, Washer, Stove, Fire extinguisher, Dryer, Shampoo, Paid parking off premises, Dishes and silverware, First aid kit, Hot water, Shower gel, Free street parking, Air conditioning, Heating, Toaster, Host greets you, Luggage dropoff allowed, Smoke alarm, Pocket wifi, Dedicated workspace, Drying rack for clothing, Freezer, Room-darkening shades, Microwave, Iron, Wine glasses, Coffee maker, Bed linens, Hangers, Wifi, Essentials, Dining table, Ethernet connection, Lock on bedroom door, Cleaning products, Cooking basics, Cable TV, Bathtub, Refrigerator, Elevator, Paid parking on premises, Breakfast, Oven, Carbon monoxide alarm, Long term stays allowed, Hair dryer, Kitchen
0.72,1,true,true,Hispanoamérica,Chamartín,40.45724,-3.67688,Private room in rental unit,Private room,2,1,1,1,59,1,1125,10,59,81,3,4.88,4.91,4.82,4.8,4.89,4.78,4.85,false,1,0.57,false,true,false,true,true,false,false,false,true,false,true,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true
0,2,true,true,Cármenes,Latina,40.40381,-3.7413,Private room in rental unit,Private room,1,1,1,1,31,4,40,0,1,33,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,false,2,0.38,false,true,false,true,true,false,true,false,true,false,true,true,true,false,false,true,true,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,true,true,true
0.65,1,true,true,Legazpi,Arganzuela,40.38975,-3.69018,Private room in residential home,Private room,1,1,1,1,29,2,1125,11,69,154,5,4.68,4.81,4.92,4.79,4.71,4.71,4.72,false,1,1.09,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false
0.98,12,true,true,Justicia,Centro,40.41969,-3.69736,Entire rental unit,Entire home/apt,4,1,1,2,83,2,500,9,69,120,2,4.61,4.72,4.68,4.55,4.86,4.95,4.68,true,9,0.87,false,true,false,true,true,false,false,false,true,true,true,false,true,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true
0.57,1,true,true,Goya,Salamanca,40.42792,-3.67682,Entire condominium (condo),Entire home/apt,3,2,2,2,82,10,999,0,7,55,0,4.83,4.88,4.86,4.86,4.82,4.9,4.78,false,2,0.41,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true
1,2,true,true,Justicia,Centro,40.41884,-3.69655,Private room in rental unit,Private room,3,1.5,1,2,52,1,90,15,75,113,34,4.6,4.83,4.4,4.8,4.88,4.96,4.5,true,2,2.59,true,true,true,true,true,false,false,true,true,false,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true
1,3,true,true,Universidad,Centro,40.42381,-3.71038,Entire rental unit,Entire home/apt,2,1,1,1,52,30,1125,0,3,52,11,4.7,4.72,4.78,4.86,4.88,4.94,4.46,false,1,0.4,false,true,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,true,true
1,6,true,true,Universidad,Centro,40.42252,-3.7025,Entire rental unit,Entire home/apt,4,1,1,2,70,30,365,0,58,20,1,4.47,4.68,4.6,4.58,4.63,4.68,4.42,true,5,0.16,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,true,false,true,false,true,true,true
1,6,true,true,Universidad,Centro,40.42252,-3.7025,Entire rental unit,Entire home/apt,4,1,1,3,54,28,360,12,72,22,2,4.19,4.55,4.41,4.76,4.59,4.81,4,true,5,0.17,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,true
1,6,true,true,Palacio,Centro,40.42191,-3.71038,Entire rental unit,Entire home/apt,3,1,2,2,65,28,360,6,27,7,0,4,4.14,4.14,4.29,4.14,4.43,4.43,true,5,0.09,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,true,false,false,false,true,true,true
